cve_id,vendor
CVE-2005-1957,adam_mmedici
CVE-2005-1929,trend_micro
CVE-2005-1928,trend_micro
CVE-2005-1925,tiki
CVE-2005-1918,gnu
CVE-2005-1918,redhat
CVE-2005-1852,ekg
CVE-2005-1852,kde
CVE-2005-1852,centericq
CVE-2005-1852,kadu
CVE-2005-1813,futuresoft
CVE-2005-1812,futuresoft
CVE-2005-1795,clam_anti-virus
CVE-2005-1790,microsoft
CVE-2005-1787,phpstat
CVE-2005-1778,postnuke_software_foundation
CVE-2005-1775,atari
CVE-2005-1770,alwil
CVE-2005-1761,novell
CVE-2005-1761,suse
CVE-2005-1754,apache_tomcat
CVE-2005-1754,sun
CVE-2005-1753,sun
CVE-2005-1704,gnu
CVE-2005-1689,mit
CVE-2005-1682,solstice
CVE-2005-1628,web-app.org
CVE-2005-1619,phpheaven
CVE-2005-1532,mozilla
CVE-2005-1500,mywebland
CVE-2005-1487,fishnet
CVE-2005-1486,fishnet
CVE-2005-1462,ethereal_group
CVE-2005-1426,
CVE-2005-1425,uapplication
CVE-2005-1398,phpcart
CVE-2005-1330,apple
CVE-2005-1155,mozilla
CVE-2005-1126,freebsd
CVE-2005-1123,monkey-project
CVE-2005-1122,monkey-project
CVE-2005-1028,phpnuke
CVE-2005-1021,cisco
CVE-2005-1020,cisco
CVE-2005-1017,maxwebportal
CVE-2005-0970,apple
CVE-2005-0904,microsoft
CVE-2005-0896,accomplishtechnology
CVE-2005-0891,gtk
CVE-2005-0844,nortel
CVE-2005-0803,microsoft
CVE-2005-0797,
CVE-2005-0756,linux
CVE-2005-0748,webinsta
CVE-2005-0739,ethereal_group
CVE-2005-0738,microsoft
CVE-2005-0735,newsscript.co.uk
CVE-2005-0720,mcnews
CVE-2005-0709,mysql
CVE-2005-0709,oracle
CVE-2005-0679,stadtaus
CVE-2005-0543,phpmyadmin
CVE-2005-0504,linux
CVE-2005-0492,adobe
CVE-2005-0485,phparena
CVE-2005-0477,invision_power_services
CVE-2005-0449,linux
CVE-2005-0413,myphp_forum
CVE-2005-0351,sco
CVE-2005-0256,washington_university
CVE-2005-0247,postgresql
CVE-2005-0244,postgresql
CVE-2005-0227,postgresql
CVE-2005-0211,squid-cache
CVE-2005-0211,debian
CVE-2005-0210,linux
CVE-2005-0209,linux
CVE-2005-0200,tiki
CVE-2005-0197,cisco
CVE-2005-0177,linux
CVE-2005-0139,sgi
CVE-2005-0138,sgi
CVE-2005-0116,awstats
CVE-2005-0103,squirrelmail
CVE-2005-0050,microsoft
CVE-2004-2779,underbit
CVE-2004-2778,gentoo
CVE-2004-2777,gehealthcare
CVE-2004-2771,oracle
CVE-2004-2771,redhat
CVE-2004-2771,bsd_mailx_project
CVE-2004-2771,heirloom
CVE-2004-2769,cerberusftp
CVE-2004-2768,debian
CVE-2004-2767,novell
CVE-2004-2766,sun
CVE-2004-2765,sun
CVE-2004-2764,sun
CVE-2004-2763,sun
CVE-2004-2761,ietf
CVE-2004-2760,openbsd
CVE-2004-2757,novell
CVE-2004-2756,xoops
CVE-2004-2755,symantec
CVE-2004-2754,yabb
CVE-2004-2752,postnuke_software_foundation
CVE-2004-2751,postnuke_software_foundation
CVE-2004-2750,jbrowser
CVE-2004-2749,2wire
CVE-2004-2748,webtrends
CVE-2004-2747,pablo_software_solutions
CVE-2004-2746,pensacola_web_designs
CVE-2004-2745,anteco_visual_technologies
CVE-2004-2743,raditha_dissanayake
CVE-2004-2742,businessobjects
CVE-2004-2741,horde
CVE-2004-2740,phprojekt
CVE-2004-2739,phprojekt
CVE-2004-2738,zeroboard
CVE-2004-2737,netsupport
CVE-2004-2736,polar_software
CVE-2004-2735,fredric_fredricson
CVE-2004-2734,novell
CVE-2004-2733,webwiz
CVE-2004-2732,netbilling
CVE-2004-2731,linux
CVE-2004-2730,microsoft
CVE-2004-2729,hummingbird
CVE-2004-2728,hummingbird
CVE-2004-2727,mailenable
CVE-2004-2725,aztek_forum
CVE-2004-2724,lionmax_software
CVE-2004-2723,nessus
CVE-2004-2722,nessus
CVE-2004-2721,heiko_stamer
CVE-2004-2720,snitz_communications
CVE-2004-2719,foxmail
CVE-2004-2718,php_heaven
